"trial.count"	"stimulus"	"study"	"age"	"condition"	"gender"	"yoke_video"	"version"	"side"	"ID"	"choices"	"light"	"which_cup"	"correct_choice"	"time_win"	"roi_c1"	"roi_c2"	"roi_c3"	"roi_cor"
1	"F2_gir2_cup2-9"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"2"	1	"time4"	NA	NA	NA	NA
2	"F2_gir2_cup1-11"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"2"	0	"time4"	NA	NA	NA	NA
3	"F2_gir2_cup3-13"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"3"	1	"time4"	0	NA	1	1
4	"F2_gir2_cup2-15"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"1"	0	"time4"	NA	NA	NA	NA
5	"F2_gir2_cup1-17"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"1"	1	"time4"	NA	NA	NA	NA
6	"F2_gir2_cup3-19"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"3"	1	"time4"	NA	NA	NA	NA
7	"F2_gir2_cup2-21"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"2"	1	"time4"	NA	NA	NA	NA
8	"F2_gir2_cup1-23"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"1"	1	"time4"	NA	NA	NA	NA
9	"F2_gir2_cup3-25"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"lef"	"246083"	"223113213"	"light"	"3"	1	"time4"	NA	NA	NA	NA
1	"F2_gir2_cup1-9"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
2	"F2_gir2_cup2-11"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"1"	0	"time4"	NA	NA	NA	NA
3	"F2_gir2_cup3-13"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	NA	NA	"time4"	NA	NA	NA	NA
4	"F2_gir2_cup2-15"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"3"	0	"time4"	NA	NA	NA	NA
5	"F2_gir2_cup1-17"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"1"	1	"time4"	NA	NA	NA	NA
6	"F2_gir2_cup3-19"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"2"	0	"time4"	0	NA	1	1
7	"F2_gir2_cup1-21"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"2"	0	"time4"	NA	NA	NA	NA
8	"F2_gir2_cup3-23"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"2"	0	"time4"	0	NA	1	1
9	"F2_gir2_cup2-25"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"245488"	"21X312222"	"darks"	"2"	1	"time4"	NA	NA	NA	NA
1	"F2_gir2_cup3-9"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"3"	1	"time4"	NA	NA	NA	NA
2	"F2_gir2_cup2-11"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"3"	0	"time4"	NA	NA	NA	NA
3	"F2_gir2_cup1-13"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"2"	0	"time4"	NA	NA	NA	NA
4	"F2_gir2_cup2-15"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	NA	NA	"time4"	NA	NA	NA	NA
5	"F2_gir2_cup1-17"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"2"	0	"time4"	NA	NA	NA	NA
6	"F2_gir2_cup3-19"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"1"	0	"time4"	NA	NA	NA	NA
7	"F2_gir2_cup1-21"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"1"	1	"time4"	NA	NA	NA	NA
8	"F2_gir2_cup3-23"	"ETPIP"	"M24"	"peer"	"0"	"f2"	"gir2"	"rig"	"247337"	"332X21113"	"light"	"1"	0	"time4"	NA	NA	NA	NA
